constituency_name,registered_voters,cast_votes,rejected_votes,valid_votes
Chobe,8942,7354,74,7280
Maun East,16774,13607,151,13456
Maun West,18329,15100,137,14963
Ngami,18159,15055,175,14880
Okavango,15243,12726,174,12552
Tati East,11802,9829,129,9700
Tati West,12507,10674,168,10506
Francistown East,10236,8483,25,8458
Francistown South,12333,10097,36,10061
Francistown West,12511,9919,46,9873
Nata-Gweta,11009,9720,411,9309
Nkange,15078,12907,214,12693
Shashe West,14375,12059,119,11940
Tonota,15428,12903,108,12795
Bobonong,17558,14893,151,14742
Mmadinare,13108,10670,228,10442
Selibe Phikwe East,9732,8361,54,8307
Selibe Phikwe West,10196,8695,46,8649
Lerala-Maunatlala,13929,11807,189,11618
Palapye,15110,12114,96,12018
Sefhare-Ramokgonami,15960,13705,339,13366
Mahalapye East,10993,9316,231,9085
Mahalapye West,14018,11717,165,11552
Shoshong,12400,10689,226,10463
Serowe North,13923,11372,118,11254
Serowe West,8500,6962,88,6874
Serowe South,13909,11393,149,11244
Boteti East,11079,8867,139,8728
Boteti West,14492,12112,151,11961
Mochudi East,20356,17608,156,17452
Mochudi West,21146,18626,127,18499
Gaborone Central,14054,11609,55,11554
Gaborone North,15178,13049,45,13004
Gaborone South,13597,11380,86,11294
Gaborone Bonnington North,16698,14352,49,14303
Gaborone Bonnington South,13811,11595,34,11561
Tlokweng,13980,11525,21,11504
Ramotswa,20246,18087,281,17806
Mogoditshane,15451,11875,62,11813
Gabane-Mmankgodi,20644,17227,183,17044
Thamaga-Kumakwane,16856,14617,200,14417
Molepolole North,17022,15108,143,14965
Molepolole South,13556,11893,146,11747
Lentsweletau-Mmopane,19474,16633,194,16439
Letlhakeng-Lephephe,12772,11104,190,10914
Takatokwane,11746,10698,169,10529
Lobatse,12991,11103,88,11015
Goodhope-Mabule,15874,13730,200,13530
Mmathethe-Molapowabojang,19073,16392,290,16102
Kanye North,18525,16062,179,15883
Kanye South,18729,15955,194,15761
Moshupa-Manyana,14882,12821,192,12629
Jwaneng-Mabutsane,15554,13395,172,13223
Kgalagadi North,10102,9307,72,9235
Kgalagadi South,14280,12574,147,12427
Ghanzi North,9156,7772,88,7684
Ghanzi South,10687,9206,67,9139
